Row,OFD,PFD
RC01518_I,-0.361055977,-0.485703839
RC01528_I,0.01,0.01
RC01529_I,0.231024541,0.269844698
RC01547_I,0,0
RC01560_I,0.009010977,0.042638764
RC01561_I,0.01,0
RC01567_I,0,0
RC01569_I,0.049421222,0.040364344
RC01570_I,0,0
RC01595_I,0.010864225,0.010864225
RC01600_I,0.044424668,0.028657376
RC01602_I,0,0
RC01616_I,0.01,0.01
RC01639_I,0.020001,0.010001
RC01641_I,-0.125512771,-0.139922849
RC01655_I,1.268686571,0.938961904
RC01658_I,0.021101796,0.021101796
RC01663_I,0,0
RC01664_I,0.056025865,0.046952018
RC01665_I,0,0
RC01681_I,0,0
RC01682_I,0,0
RC01687_I,0.00E+00,0.00E+00
RC01704_I,0.01,0.01
RC01710_I,0,0
RC01711_I,0,0
RC01724_I,0.02564014,0.01527139
RC01737_I,0,0
RC01752_I,0.00E+00,0
RC01758_I,0,0
RC01759_I,0,0.00E+00
RC01768_I,0.055789905,0.098973876
RC01769_I,0.01,0
RC01786_I,0.184024064,0.166003319
RC01787_I,0.006536973,0.003716975
RC01793_I,0,0
RC01794_I,0,0
RC01795_I,0,0
RC01799_I,0.032253081,0.032253081
RC01801_I,0.000533535,0.000533535
RC01802_I,0.030859691,0.030859691
RC01814_I,0,0
RC01815_I,0,0
RC01816_I,1.00E-06,2.00E-06
RC01818_I,-0.155037193,-0.155037193
RC01819_I,-0.05740546,-0.05777421
RC01827_I,0.01,0.01
RC01829_I,0.115512771,0.129922849
RC01830_I,-0.125512771,-0.139922849
RC01843_I,0.115512771,0.129922849
RC01844_I,0.00E+00,0
RC01855_I,0,0
RC01857_I,0,0.00E+00
RC01863_I,0.014510381,0.04675023
RC01870_I,-0.01,-0.01
RC01876_I,0,0
RC01878_I,0.01,0
RC01890_I,0.078561034,0.092068251
RC01896_I,0.020001,0.010001
RC01903_I,0,0
RC01904_I,0.01,0.01
RC01905_I,0.01,0.01
RC01909_I,0,0
RC01920_I,0.01,0.01
RC01923_I,0.01,0
RC01926_I,0.01,0
RC01931_I,-0.009999,1.00E-02
RC01938_I,0,0
RC01951_I,0.002943197,0.002943197
RC01956_I,0.00E+00,0
RC01959_I,0,0
RC01960_I,0,0
RC01961_I,0.007700876,0.003590501
RC01968_I,0.061105217,0.051791668
RC01969_I,0.061106217,0.051791668
RC01975_I,0.008010746,7.33E-03
RC01978_I,0.01,0.01
RC01987_I,0.00E+00,0
RC01993_I,-0.02963225,-0.01
RC01998_I,-0.050672358,-0.030672358
RC02003_I,0.021101796,0.021101796
RC02016_I,0.012291325,0.012291325
RC02017_I,0,0
RC02018_I,0,0
RC02019_I,0,0
RC02024_I,0,0
RC02029_I,0.000533535,0.000533535
RC02030_I,0.000859855,0.000859855
RC02035_I,0.01,0.01
RC02037_I,0.04874615,0.053425892
RC02038_I,-0.210736057,-0.180344495
RC02051_I,-0.250582279,-0.210190717
RC02053_I,0,0
RC02055_I,0.01,0.01
RC02057_I,-0.230878141,-0.190486579
RC02058_I,0,0
RC02059_I,0,0
RC02061_I,0.000107767,0.000107767
RC02078_I,0,0
RC02080_I,0,0
RC02082_I,0.313413155,0.313413155
RC02088_I,0.059421222,0.050364344
RC02090_I,0,0.00E+00
RC02093_I,0.01,0.01
RC02094_I,0.01,0.01
