,Body_wall_muscle,Glia,Gonad,Hypodermis,Neurons,Pharynx
RCC0141_I,0,0,0,0,0,0
RCC0141_X,0,0.01,0.02,0.01,0.01,0
RCC0142_I,0,0,0,0,0,0
RCC0142_X,0,0,0,0,0,0
RCC0143_I,0,0,0,0,0,0
RCC0143_X,0,0,0,0,0,0
RCC0144_I,0.00E+00,-4.55E-13,-4.55E-13,-4.55E-13,0.00E+00,-4.55E-13
RCC0144_X,0.00886702,-4.55E-13,0.00886702,0.00886702,0.00E+00,0.00886702
RCC0145_I,0,0,0,0,0,0
RCC0145_X,0,0.01,0,0.01,0,0.01
RCC0147_I,0.049430539,0.034923883,0.057837357,0.03574153,0.038707531,0.047185304
RCC0147_X,0,0,0,0,0,0
RCC0148_I,0.314649332,0.258120708,0.200712937,0.261574123,0.286085465,0.344592772
RCC0148_X,0,0,0,0,0,0
RCC0149_I,7.74E-02,0.054659753,9.05E-02,0.055939461,0.060581582,0.073850236
RCC0149_X,0,0,0,0,0,0
RCC0150_I,0,0,0,0,0,0
RCC0150_X,0.02,0.02,0.011166829,0.02,0.02,0.02
RCC0151_I,0.00E+00,-6.82E-13,-6.82E-13,-6.82E-13,0,-6.82E-13
RCC0151_X,0.058878142,0.044533601,0.067191011,0.041552806,0.048274966,0.056657997
RCC0152_I,0,0,0,0,0,0
RCC0152_X,0.36411959,0.347963314,0.370134295,0.369577982,0.356962231,0.355484574
RCC0153_I,0,-4.55E-13,0,4.55E-12,0,0
RCC0153_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0156_I,0,0,0,6.82E-13,0,0
RCC0156_X,0,0,0,0,0.01,0
RCC0157_I,0,0,0,0,0,0
RCC0157_X,0,0,0,0,0,0
RCC0159_I,0,0,0,6.82E-13,0,0
RCC0159_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0162_I,0,0.00E+00,0,-6.82E-13,0.00E+00,-6.82E-13
RCC0162_X,0.011008167,0.01,-5.47E-13,0.018214885,0.01,-6.82E-13
RCC0163_I,-1.083154334,-1.093458323,-1.255058219,-1.808605792,-0.9331666,-1.063071486
RCC0163_X,-0.02,-0.01,-0.058612663,-0.03,-0.01,-0.01
RCC0165_I,0,0,0,0,0,0
RCC0165_X,0,0,0,0.075658711,0,0
RCC0166_I,0.20616605,0.141915578,0.248372708,0.14550476,0.1512819,0.204592469
RCC0166_X,0,0,0,0.110246038,0.00E+00,0
RCC0167_I,2.06E-01,0.149947704,0.248372708,1.46E-01,0.169522054,0.204592469
RCC0167_X,0,0,0,0.106835595,0,-9.15E-13
RCC0168_I,2.06E-01,0.149947704,0.248372708,1.46E-01,0.169522054,0.204592469
RCC0168_X,0,0,0,0.106835595,0,-9.15E-13
RCC0170_I,0,0,0,0,0,0
RCC0170_X,0.256306878,0.256306878,0.256306878,0.256306878,0.256261641,0.256306878
RCC0171_I,0,0,0,0,0,0
RCC0171_X,0.256306878,0.256306878,0.256306878,0.256306878,0.256261641,0.256306878
RCC0172_I,0,0,0,0,0,0
RCC0172_X,0.256306878,0.256306878,0.256306878,0.256306878,0.256261641,0.256306878
RCC0173_I,0,0,0,0,0,0
RCC0173_X,0.085435626,0.085435626,0.085435626,0.085435626,0.085420547,0.085435626
RCC0174_I,0,0,0,0,0,0
RCC0174_X,0.085435626,0.085435626,0.085435626,0.085435626,0.085420547,0.085435626
RCC0175_I,0,0,0,0,0,0
RCC0175_X,7.95E-05,7.95E-05,7.95E-05,7.95E-05,7.94E-05,7.95E-05
RCC0176_I,0,0,0,0,0,0
RCC0176_X,0.085435626,0.085435626,0.085435626,0.085435626,0.085420547,0.085435626
RCC0177_I,0,0,0,0,0,0
RCC0177_X,0.01,0.01,0.01,0.01,0.01,0.01
RCC0178_I,0,-4.45E-12,-2.01E-12,0,0,0
RCC0178_X,0.082088557,0.082088557,0,0.090915622,0.08218476,0.102088557
RCC0179_I,0,0,0,0,0,0
RCC0179_X,0,0,0,0,0,0
RCC0180_I,0,-5.18E-12,-2.73E-12,0,0,0
RCC0180_X,0.072088557,0.082088557,0,0.090915622,0.07218476,0.092088557
