Row,Hypodermis,Gonad,Glia,Pharynx,Body_wall_muscle,Neurons
RM03158_X,0.0112495310311748,0,0,0,0,0
RM03172_I,0.0992213933914611,0.12848688589847,0.233476603243672,0.092125467282448,0.128204302689376,0.112849472677722
RM03172_X,0.00999999999999091,0.00999999999995538,0.01,0,0.00999999999999091,0.00999999999999091
RM03225_I,0,0,0,0,0,0
RM03225_X,-0.00999999999976353,-0.00999999999999091,0,0,0,0
RM03291_I,0,0,0,0,0,0
RM03291_X,0.01,0.833484766203853,0,0.01,0,0.01
RM03293_I,0,0,0,0,0,0
RM03293_X,0,-0.776275743184272,0.01,0,0,0
RM03313_I,0,0,0,0,0,0
RM03313_X,0.00999999999999091,0,0,0,0,0
RM03336_I,0,0,0,0,0,0
RM03336_X,0,0,0,0,0,0
RM03425_I,0,0,0,0,0,0
RM03425_X,0,-0.00999999999999091,0,0,0,0
RM03451_I,0,0,0,0,0,0
RM03451_X,0,0,0,0,0,0
RM03524_I,-4.54747350886464e-13,0,0,0,0,0
RM03524_X,0,0,0,0,0,0
RM03534_I,0,0,0,0,0,0
RM03534_X,-0.00999999999976353,-0.00999999999999091,0,0,0,0
RM03646_I,0,0,0,0,0,0
RM03646_X,0.0237487391052756,0.0237487391052692,0.0237487391033229,0.0237487391052673,0.0237487392122142,0.0237487391052756
RM03648_I,0,0,0,0,0,0
RM03648_X,0.0172137761131369,0.0172137761131322,0.0172137761117214,0.0172137761131308,0.0172137761906491,0.0172137761131369
RM03650_I,0,0,0,0,0,0
RM03650_X,0.00421288998786418,0.00421288998786303,0.00421288998751776,0.0042128899878627,0.00421289000683447,0.00421288998786418
RM03651_I,0,0,0,0,0,0
RM03651_X,0.0183266791924469,0.0183266791924419,0.0183266791909399,0.0183266791924405,0.0183266792749704,0.0183266791924469
RM03654_I,0,0,0,0,0,0
RM03654_X,0.0460029111219541,0.0460029111219417,0.0460029111181714,0.046002911121938,0.0460029113291014,0.0460029111219541
RM03655_I,0,0,0,0,0,0
RM03655_X,0.00866401610891398,0.00866401610891163,0.00866401610820156,0.00866401610891094,0.00866401614792732,0.00866401610891397
RM03656_I,0,0,0,0,0,0
RM03656_X,0.0258807093991919,0.0258807093991849,0.0258807093970638,0.0258807093991828,0.0258807095157306,0.0258807093991919
