wbid	Neurons	Gonad	Hypodermis	Pharynx	Body_wall_muscle	Glia	Intestine
WBGene00000227	51.098418969	523.452211151	126.913736188	21.0668465711	6.17538640412	28.8454800181	190.576387036
WBGene00000228	19.5046095652	13.7844415348	36.4221436606	491.096958881	828.786926202	645.750342521	98.0437965141
WBGene00000229	606.264694825	1622.66921929	1028.54531847	970.733844794	3397.87907104	649.621698506	1463.79055926
WBGene00000230	191.391868676	254.033823388	242.823548864	216.892765889	575.450725308	154.171483027	108.143713304
WBGene00000231	106.980227212	252.949703771	210.277115476	159.703784999	109.498549219	165.530512226	364.945826225
WBGene00000232	323.902511888	11.3703201984	5.0288500053	7.30335293438	93.6988654266	41.2165368856	5.83550113732
WBGene00000233	95.1756291723	0.329398049146	4.47899840911	100.714057736	2.02607314151	0.0	2.12512998931
WBGene00000235	19.5838587581	63.6330847099	37.8183307821	20.5938054044	20.3458031265	20.8172478315	3.38709269057
WBGene00000236	11.3524125321	55.5010092649	19.4861900484	11.5838547786	8.89344439814	13.7378776909	8.06882094077
WBGene00000237	131.152112736	10.0648673736	24.1550139119	152.314701767	1.01908554334	53.6660634303	203.797886394
