Gene	B-cells	NK-cells	T-cells	adipose tissue	adrenal gland	amygdala	appendix	basal ganglia	bone marrow	breast	cerebellum	cerebral cortex	cervix, uterine	colon	corpus callosum	dendritic cells	ductus deferens	duodenum	endometrium	epididymis	esophagus	fallopian tube	gallbladder	granulocytes	heart muscle	hippocampal formation	hypothalamus	kidney	liver	lung	lymph node	midbrain	monocytes	olfactory region	ovary	pancreas	parathyroid gland	pituitary gland	placenta	pons and medulla	prostate	rectum	retina	salivary gland	seminal vesicle	skeletal muscle	skin	small intestine	smooth muscle	spinal cord	spleen	stomach	substantia nigra	testis	thalamus	thymus	thyroid gland	tongue	tonsil	total PBMC	urinary bladder	vagina
HGNC:10293	Moderate	High	Moderate	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	Moderate	High	High	High	Moderate	High	Moderate	High	High
HGNC:20667	Rare	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Rare	Moderate	Moderate
HGNC:20728	Low	Low	Low	High	High	High	High	High	High	High	High	High	High	High	High	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Low	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Low	High	High
HGNC:2608	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Low	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	High	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low
HGNC:4446	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High	High
HGNC:12547	Moderate	Rare	Rare	Low	Rare	Low	Moderate	Low	Rare	Low	Low	Low	Low	High	Low	Rare	Low	High	Low	Low	Low	Rare	Low	Rare	Low	Low	Rare	Low	High	Low	Low	Low	Rare	Low	Low	Low	Rare	Low	Low	Low	Low	High	Low	Low	Low	Low	Rare	High	Low	Low	Low	Rare	Low	Low	Low	Low	Low	Low	Low	Rare	Low	Low
HGNC:253	Moderate	High	High	High	High	High	High	High	Moderate	High	Moderate	High	High	High	High	Moderate	High	High	High	High	High	High	High	High	High	Moderate	High	High	High	High	High	High	Moderate	High	High	Moderate	Moderate	High	High	High	High	High	High	High	High	High	Moderate	High	High	Moderate	High	High	High	High	Moderate	High	High	High	High	High	High	High
HGNC:10970	Rare	Rare	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Low	Low	Rare	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Rare	Low	Low	High	Rare	Rare	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Moderate	Rare	Rare	Moderate	Rare	Rare	Rare	Rare	Rare	Rare	Low	Rare	Rare	Low	Rare	Low	Rare	Rare	Rare	Rare	Rare	Rare	Rare
HGNC:9066	High	Moderate	Low	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Low	Moderate	Moderate	Low	Low	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	High	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	Moderate	High	Moderate	Moderate	Moderate
HGNC:14416	Rare	Rare	Rare	Low	Low	Moderate	Low	Moderate	Low	Moderate	Moderate	Moderate	Low	Low	Moderate	Rare	Rare	Low	Low	Moderate	Low	Low	Low	Rare	Moderate	Moderate	Moderate	Low	High	Low	Low	Moderate	Rare	Moderate	Low	Moderate	High	Moderate	High	Moderate	Moderate	Low	Moderate	Low	Low	Low	Low	Low	Low	High	Low	Low	Moderate	Moderate	Moderate	Rare	Moderate	Rare	Low	Rare	Low	Rare
